suspect_score	image
6017	grade3/wild.png
1728	grade3/skirt.png
1368	grade3/bird.png
1368	grade2/bird.png
1368	grade1/bird.png
1251	grade3/walk.png
1251	grade2/walk.png
1251	grade1/walk.png
995	grade3/bowl.png
674	grade3/meat.png
653	grade3/queen_bee.png
635	grade1/stand.png
589	grade3/card.png
565	grade3/sweater.png
519	grade3/football.png
513	grade3/tea.png
510	grade3/back.png
492	grade3/blouse.png
483	grade3/sheep.png
449	grade3/picture.png
417	grade3/hat.png
393	grade3/farmer.png
393	grade2/farmer.png
393	grade1/farmer.png
387	grade3/am.png
387	grade2/am.png
387	grade1/am.png
341	grade3/socks.png
337	grade3/salad.png
335	grade3/bee.png
334	grade3/miss.png
334	grade2/miss.png
334	grade1/miss.png
331	grade3/schoolbag.png
323	grade3/shopping.png
317	grade3/noodles.png
300	grade3/cut.png
289	grade3/house.png
284	grade3/sister.png
258	grade3/leave.png
258	grade2/leave.png
258	grade1/leave.png
247	grade3/teachers_day.png
245	grade3/possible.png
245	grade2/possible.png
245	grade1/possible.png
238	grade3/papa_bear.png
228	grade3/teatime.png
217	grade3/day.png
215	grade3/put.png
210	grade3/healthy.png
210	grade3/gloves.png
210	grade2/healthy.png
210	grade1/healthy.png
189	grade3/swing.png
181	grade3/pencil_case.png
174	grade3/cola.png
169	grade3/wear.png
169	grade2/wear.png
169	grade1/wear.png
167	grade3/litter.png
125	grade3/skip.png
